year,record_type,job_category,company_size,source_item,nominal_wage,daily_wage,hourly_wage,source_file,cpi,real_wage,real_wage_growth
2015,company_size,,100至299人,１００人至２９９人,27887,1060,121,raw_wages_2015.csv,94.53999999999999,29497.56716733658,
2016,company_size,,100至299人,按員工規模分_１００人至２９９人,28345,1022,128,raw_wages_2016.csv,95.85666666666667,29570.19160552213,0.24620484046551372
2017,company_size,,100至299人,按員工規模分_１００人至２９９人,30203,1014,133,raw_wages_2017.csv,96.4525,31313.859153469326,5.89670696493414
2018,company_size,,100至299人,１００人至２９９人,32459,1321,193,raw_wages_2018.csv,97.755,33204.43967060508,6.037520025462251
2019,company_size,,100至299人,１００人至２９９人,33967,9785,337,raw_wages_2019.csv,98.30166666666666,34553.83937200115,4.063913485011028
2020,company_size,,100至299人,１００人至２９９人,32736,1245,161,raw_wages_2020.csv,98.0675,33381.089555663195,-3.3939783180454097
2021,company_size,,100至299人,１００人至２９９人,33116,1247,175,raw_wages_2021.csv,100,33116,-0.7941309261974672
2022,company_size,,100至299人,１００人至２９９人,34401,1367,175,raw_wages_2022.csv,102.94666666666667,33416.33208133661,0.9069092925975575
2023,company_size,,100至299人,１００人至２９９人,33920,1780,185,raw_wages_2023.csv,105.5125,32147.849780831653,-3.795995016500975
2024,company_size,,100至299人,１００人至２９９人,35733,1698,196,raw_wages_2024.csv,107.81333333333333,33143.395993074446,3.0967738714406723
2015,company_size,,29人以下,２９人及以下,25839,1438,130,raw_wages_2015.csv,94.53999999999999,27331.28834355828,
2016,company_size,,29人以下,按員工規模分_２９人及以下,26512,1440,128,raw_wages_2016.csv,95.85666666666667,27657.961539799006,1.1952352634621466
2017,company_size,,29人以下,按員工規模分_２９人及以下,28438,1501,135,raw_wages_2017.csv,96.4525,29483.94287343511,6.602009808309872
2018,company_size,,29人以下,２９人及以下,29092,1463,150,raw_wages_2018.csv,97.755,29760.11457214465,0.9366850963422824
2019,company_size,,29人以下,２９人及以下,30131,1429,156,raw_wages_2019.csv,98.30166666666666,30651.565758464592,2.995456163849375
2020,company_size,,29人以下,２９人及以下,30830,1794,161,raw_wages_2020.csv,98.0675,31437.530272516382,2.5641904242191593
2021,company_size,,29人以下,２９人及以下,31240,1518,166,raw_wages_2021.csv,100,31239.999999999996,-0.6283263055465671
