項目別_金額_新臺幣元,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,32670,2071,171
主管及監督人員,54108,2000,-
高階主管及總執行長,65769,-,-
行政及商業經理人員,68201,-,-
生產及專業服務經理人員,70681,-,-
餐旅、零售及其他場所服務經理人員,48486,-,-
採礦、製造及營造監督人員,41482,2000,-
辦公室監督人員,50486,-,-
專業人員,43904,16125,211
物理、化學及地球科學專業人員,46452,-,-
數學、精算及統計學專業人員,49075,-,-
生物、植物及動物學有關專業人員,45864,-,-
工業及生產工程師,37866,-,-
土木工程師,41383,-,-
環境工程師,39413,-,-
機械工程師,37257,-,-
化學工程師,43191,-,-
採礦工程師、冶金學及有關專業人員,40015,-,-
其他工程專業人員,39849,-,-
電機工程師,43669,40000,-
電子工程師,47746,-,-
電信工程師,44550,-,-
建築師,40613,-,-
都市及交通規劃師,43606,-,-
測量師及製圖師,35468,-,-
設計師,36389,-,-
醫師等醫療專業人員,121665,-,-
護理及助產專業人員,37074,-,200
藥師,46642,-,287
環境及職業衛生專業人員,40141,-,-
營養師,35854,-,-
未分類其他醫療保健專業人員,37021,-,-
其他教學專業人員,33096,-,210
財務專業人員,45963,-,-
行政專業人員,41890,-,-
行銷、公關及技術銷售專業人員,39529,-,-
軟體與應用程式開發人員及分析師,45980,-,-
資料庫及網路專業人員,38951,-,-
法律專業人員,50583,-,-
心理學專業人員,50417,-,-
作家、新聞記者及語言學專業人員,31600,1800,-
廣播、電視及其他媒體播報員,23100,-,-
其他創作及表演藝術人員,32952,-,-
技術員及助理專業人員,31519,2051,167
物理及化學技術員,31819,-,-
營建工程技術員,33543,-,-
電機工程技術員,34403,1000,-
電子工程技術員,29222,-,-
機械工程技術員,31413,3330,-
化學工程技術員,31920,-,-
工業及生產技術員,29735,3914,151
製圖員,29787,900,-
其他工程科學技術員,28484,575,-
製程控制技術員,34402,-,-
生命科學技術員及有關助理專業人員,35200,-,-
船舶、航空器監管及有關技術員,127465,-,-
醫學影像及治療設備技術員,36905,-,200
醫學及病理檢驗技術員,34651,-,-
藥學、醫學及牙科輔具技術員,34705,-,-
護理助理專業人員,33167,-,169
牙醫助理人員及鑲牙生,30280,-,160
環境及職業衛生技術員,34832,1500,-
未分類其他醫療保健助理專業人員,33980,-,192
證券金融交易員及經紀人,34521,-,-
信用及貸款人員,30779,-,-
會計、統計、數學及精算助理專業人員,33213,-,-
財物及損失鑑價人員,31667,-,-
保險代理人,23595,-,-
商業銷售代表,30722,1200,170
採購員,32449,-,-
買賣經紀人,38333,-,-
不動產經紀人,27083,-,-
其他企業支援服務代理人,35869,-,170
專業秘書,34154,-,-
法律及有關助理專業人員,39488,-,200
社會工作助理專業人員,29381,-,-
運動及健身工作人員,24897,-,150
攝影師,40000,-,-
其他藝術、文化及烹飪有關助理專業人員,27589,-,-
資訊及通訊技術員,34980,-,-
廣播及視聽技術員,31642,-,150
電信工程技術員,30404,-,-
事務支援人員,28393,1100,179
一般及文書事務員,27532,-,155
銀行櫃員、收帳員及有關事務人員,34562,-,-
顧客資訊事務人員,28268,1100,150
會計、統計及有關事務人員,27138,-,150
生產、運輸及有關事務人員,28614,-,303
人事事務人員,27903,-,150
未分類其他事務支援人員,26113,-,150
服務及銷售工作人員,27887,1020,173
旅運服務及有關工作人員,26697,-,150
廚師,30943,1000,152
餐飲服務人員,27284,647,162
美髮、美容及造型設計有關工作人員,24870,-,-
建築物管理員,35636,-,-
其他個人服務工作人員,26122,-,-
銷售及展示工作人員,26745,1200,186
個人照顧工作人員,27831,-,178
保安服務工作人員,30017,1300,177
技藝有關工作人員、機械設備操作及組裝人員,28460,2986,161
營建構造及有關工作人員,24993,2042,-
建築物修整及有關工作人員,25888,1695,-
油漆、建築物清潔及有關工作人員,35214,1250,-
金屬鑄模、焊接、板金及有關工作人員,28722,2087,-
鍛造、工具製造及有關工作人員,30539,6864,200
機械維修人員,31296,5181,-
手工藝工作人員,26629,-,-
印刷及有關工作人員,26356,-,-
電力設備裝修人員,31837,1952,-
電子設備裝修人員,26256,-,160
食品製造及有關工作人員,27604,1000,150
成衣及有關工作人員,30592,-,-
未分類其他技藝有關工作人員,26951,-,153
採礦及礦物處理設備操作人員,26883,-,-
金屬製造及表面處理設備操作人員,29496,29630,-
化學及照相產品機械操作人員,27852,-,-
橡膠、塑膠及紙製品機械操作人員,26025,-,170
紡織品、毛皮及皮革製品機械操作人員,25307,850,-
食品及有關產品機械操作人員,25602,-,151
木材加工及造紙設備操作人員,27055,-,-
其他生產機械設備操作人員,25485,28659,150
組裝人員,25813,1489,156
駕駛及有關工作人員,37289,1866,150
移運設備操作人員,30900,283,153
船舶艙面水手及有關工作人員,27580,-,-
基層技術工及勞力工,24669,1373,164
清潔工及幫工,24160,-,167
採礦、營建、製造及運輸勞力工,24972,1363,157
廢棄物服務工及環境清掃工,25068,1600,-
其他基層技術工及勞力工,25894,1360,161
按員工規模分,,,
３００人　　以　上,35955,12517,158
１００人至２９９人,33967,9785,337
　３０人至　９９人,31276,4614,153
　２９人及　以　下,30131,1429,156
