項目別,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,35964,1718,202
主管及監督人員,57003,-,-
高階主管及總執行長,75179,-,-
行政及商業經理人員,61274,-,-
生產及專業服務經理人員,64194,-,-
餐旅、零售及其他場所服務經理人員,44389,-,-
採礦、製造及營造監督人員,48115,-,-
辦公室監督人員,42191,-,-
專業人員,47244,-,410
物理、化學及地球科學專業人員,64035,-,-
數學、精算及統計學專業人員,47444,-,-
生物、植物及動物學有關專業人員,48712,-,-
環境保護專業人員,46739,-,-
工業及生產工程師,43501,-,-
土木工程師,47658,-,-
環境工程師,39962,-,-
機械工程師,44286,-,-
化學工程師,44198,-,-
其他工程專業人員,46528,-,-
"電機工程師
",49019,-,-
電子工程師,55685,-,-
電信工程師,61049,-,-
建築師,49915,-,-
都市及交通規劃師,41961,-,-
測量師及製圖師,42041,-,-
設計師,40097,-,-
醫師等醫療專業人員,108318,-,-
護理及助產專業人員,40091,-,223
藥師,50410,-,350
環境及職業衛生專業人員,42351,-,-
營養師,36786,-,-
未分類其他醫療保健專業人員,47670,-,-
其他教學專業人員,34993,-,500
財務專業人員,51099,-,-
行政專業人員,43165,-,-
行銷、公關及技術銷售專業人員,42082,-,-
軟體與應用程式開發人員及分析師,49845,-,-
資料庫及網路專業人員,45672,-,-
法律專業人員,52755,-,-
經濟學專業人員,45515,-,-
心理學專業人員,39545,-,-
作家、新聞記者及語言學專業人員,31046,-,-
廣播、電視及其他媒體播報員,35900,-,-
其他創作及表演藝術人員,35157,-,-
技術員及助理專業人員,35079,1589,222
物理及化學技術員,33320,-,-
營建工程技術員,38781,1815,-
電機工程技術員,35218,2000,-
電子工程技術員,35105,-,-
機械工程技術員,35244,1600,-
化學工程技術員,34495,-,-
工業及生產技術員,33248,-,190
製圖員,34103,-,185
其他工程科學技術員,33376,-,183
製程控制技術員,33894,-,-
生命科學技術員及有關助理專業人員,36590,-,242
船舶、航空器監管及有關技術員,137213,-,-
醫學影像及治療設備技術員,44244,-,-
醫學及病理檢驗技術員,40500,-,183
藥學、醫學及牙科輔具技術員,31401,-,183
護理助理專業人員,33447,-,-
牙醫助理人員及鑲牙生,30940,-,183
環境及職業衛生技術員,33822,1800,-
未分類其他醫療保健助理專業人員,32049,-,325
證券金融交易員及經紀人,36926,-,-
信用及貸款人員,45076,-,-
會計、統計、數學及精算助理專業人員,36481,-,-
財物及損失鑑價人員,36781,-,-
保險代理人,34013,-,-
商業銷售代表,35637,1000,200
採購員,34838,-,-
買賣經紀人,30176,-,-
不動產經紀人,32407,-,-
其他企業支援服務代理人,33233,-,-
專業秘書,33058,1500,183
法律及有關助理專業人員,35807,-,-
社會工作助理專業人員,35000,-,-
運動及健身工作人員,30698,-,744
攝影師,39216,-,-
其他藝術、文化及烹飪有關助理專業人員,34072,-,-
資訊及通訊技術員,34576,-,190
廣播及視聽技術員,32828,-,183
電信工程技術員,34156,-,200
事務支援人員,31432,-,184
一般及文書事務員,30494,-,184
銀行櫃員、收帳員及有關事務人員,37001,-,183
顧客資訊事務人員,30447,-,183
會計、統計及有關事務人員,31921,-,199
生產、運輸及有關事務人員,31645,-,183
人事事務人員,32874,-,185
未分類其他事務支援人員,30603,-,-
服務及銷售工作人員,30568,1385,202
旅運服務及有關工作人員,32578,-,183
廚師,33243,-,183
餐飲服務人員,29875,1100,210
美髮、美容及造型設計有關工作人員,28595,-,183
建築物管理員,29410,-,-
其他個人服務工作人員,29928,-,-
銷售及展示工作人員,29382,1455,190
個人照顧工作人員,31331,-,214
保安服務工作人員,33195,-,212
技藝有關工作人員、機械設備操作及組裝人員,31073,1791,190
營建構造及有關工作人員,37090,2024,-
建築物修整及有關工作人員,33590,1942,185
油漆、建築物清潔及有關工作人員,31669,2242,183
金屬鑄模、焊接、板金及有關工作人員,31205,1893,-
鍛造、工具製造及有關工作人員,30183,-,-
機械維修人員,31507,1575,-
手工藝工作人員,30540,-,-
印刷及有關工作人員,31563,1300,-
電力設備裝修人員,31885,1850,-
電子設備裝修人員,31343,-,-
食品製造及有關工作人員,31242,1450,187
木材處理、家具木工及有關工作人員,29343,3500,183
成衣及有關工作人員,27935,-,-
未分類其他技藝有關工作人員,28978,-,198
採礦及礦物處理設備操作人員,28941,-,-
金屬製造及表面處理設備操作人員,29224,-,-
化學及照相產品機械操作人員,29689,1460,-
橡膠、塑膠及紙製品機械操作人員,29203,1450,-
紡織品、毛皮及皮革製品機械操作人員,27970,1500,193
食品及有關產品機械操作人員,29293,-,195
木材加工及造紙設備操作人員,28962,1400,-
其他生產機械設備操作人員,28369,1465,215
組裝人員,29162,1460,199
駕駛及有關工作人員,37962,-,189
移運設備操作人員,34752,1641,183
船舶艙面水手及有關工作人員,35775,-,-
基層技術工及勞力工,28863,1568,190
清潔工及幫工,28710,1600,184
採礦、營建、製造及運輸勞力工,29403,1571,190
街頭服務工,-,-,183
廢棄物服務工及環境清掃工,28123,1500,185
其他基層技術工及勞力工,28515,1566,191
按員工規模分,,,
３００人　　以　上,39163,1442,190
１００人至２９９人,35733,1698,196
　３０人至　９９人,35286,1521,211
　２９人及　以　下,33282,1790,198
