job_category,n_growth_years,average_real_wage_growth,real_wage_2015,real_wage_2024,decade_real_wage_change
船舶、航空器監管及有關技術員,9,31.30369561721058,130681.19314575844,127269.04526341826,-2.611047389607446
醫師等醫療專業人員,9,9.29574658788855,62366.194203511746,100468.09300024736,61.09383341943633
物理、化學及地球科學專業人員,9,8.51305181689916,33055.849375925536,59394.32352213703,79.67870934635161
營建構造及有關工作人員,9,8.046508795411942,24095.62090120584,34402.05293099184,42.773050223703635
電信工程師,9,5.532677838975721,37933.14998942247,56624.721741281224,49.2750318839085
建築師,9,5.097908440445052,32946.900782737466,46297.61315854564,40.52190663955646
建築物修整及有關工作人員,9,5.020789465627789,23218.743389041676,31155.701211971307,34.18340816271548
油漆、建築物清潔及有關工作人員,9,3.8023066404368437,23752.90882166279,29373.91788276033,23.664508222130443
不動產經紀人,9,3.6820861302741377,23995.134334673156,30058.434330942368,25.268872896067496
土木工程師,9,3.6275725537620165,36105.352231859535,44204.18006430868,22.431100465217746
其他教學專業人員,9,3.5050102458394865,25600.803892532265,32457.02448676725,26.78127070937386
信用及貸款人員,9,3.1630666745624896,33618.574148508575,41809.30002473411,24.36369204726936
採礦及礦物處理設備操作人員,9,2.8966348509759023,22599.95768986673,26843.618600049467,18.777295818060267
營建工程技術員,9,2.8810160133033405,31785.48762428602,35970.504575810046,13.166439354312187
電信工程技術員,9,2.8619041567471437,25053.945419928077,31680.682661390056,26.4498749813314
法律專業人員,9,2.8254358688507217,41087.37042521684,48931.79569626515,19.09205965206744
藥師,9,2.7650724811582768,40139.62343981384,46756.74004452139,16.48524833480163
保險代理人,9,2.759969192402023,29114.660461180458,31548.046005441505,8.357938941124043
廢棄物服務工及環境清掃工,9,2.7337393718425065,21981.17199069177,26084.899826861245,18.669285868411635
環境及職業衛生專業人員,9,2.6970395223979566,37195.89591707214,39281.78332921098,5.607842910382632
生物、植物及動物學有關專業人員,9,2.612114539814763,39289.18976094775,45181.79569626515,14.998033736940197
電子工程技術員,9,2.4632563750111505,26500.95197799873,32560.907741775907,22.866936134249794
電子工程師,9,2.4088326552254,42466.680770044426,51649.45584961662,21.6234820171056
牙醫助理人員及鑲牙生,9,2.3059604407612655,24117.833721176223,28697.74919614148,18.989746458629696
食品製造及有關工作人員,9,2.2932680779990555,24095.62090120584,28977.86297303982,20.261947562387395
電機工程技術員,9,2.133501751572585,27339.75037021367,32665.718525847144,19.480675878577337
數學、精算及統計學專業人員,9,2.1121085442995664,38218.74338904168,44005.688844917146,15.14164240558138
銀行櫃員、收帳員及有關事務人員,9,2.1045676025845217,28759.25534165433,34319.50284442246,19.333767292349812
木材加工及造紙設備操作人員,9,2.0914499358422503,22923.630209435163,26863.09671036359,17.18517732547864
採礦、製造及營造監督人員,9,2.089138593707428,38449.333615400894,44628.060845906504,16.069790161540574
會計、統計及有關事務人員,9,2.079138321452112,24783.16056695579,29607.65520652981,19.466825575131352
